model,split,n_rows,MAE,RMSE,MAPE,R2
Temporal Fusion Transformer One-Step,test,11759,1444.7540283203125,1840.1801542240369,5.400939464569092,0.8790693283081055
XGBoost Regressor Tuned,test,11759,1033.4080525484303,2194.336482904799,5.179278050302885,0.8280420521328877
LASSO Regression alpha=3.4891,test,11759,2188.4884771232655,2986.5514779168675,8.835745018632247,0.6814659848309275
Multiple Linear Regression,test,11759,2193.8590845226054,2992.7658031754677,8.842660203828478,0.6801390139714668
Naive Lag 24h,test,11759,1768.3490092694958,3372.500848599937,8.6921705433289,0.5938186848505229
Naive Lag 168h,test,11759,2240.2598010034867,3844.4030106495757,9.82221665430332,0.47219484990383487
EIA Demand Forecast,test,11759,2658.4618590016157,4153.280552013879,11.025787238104606,0.3839749918487817
Temporal Fusion Transformer One-Step,validation,8784,1326.1142578125,1527.64025542665,4.672826290130615,0.9427304863929749
XGBoost Regressor Tuned,validation,8784,993.9500788287387,2024.5450205818015,4.511593687386847,0.8994142685020579
Naive Lag 24h,validation,8784,1653.64116575592,2782.622101097032,6.604661132463898,0.8099840919277543
LASSO Regression alpha=3.4891,validation,8784,2176.6476996659735,2866.4862396216254,8.047563695557846,0.7983578944594365
Multiple Linear Regression,validation,8784,2179.984320967337,2869.660932637862,8.048109879465853,0.7979110014891646
EIA Demand Forecast,validation,8784,1935.1730418943534,2902.8554004794823,7.596954411668458,0.7932086793030843
Naive Lag 168h,validation,8784,2553.2675318761385,4336.636309998841,10.567133233412738,0.5384832107535906
