column,non_null_count,null_count,dtype
timestamp_utc,95088,0,object
Region,95088,0,object
data_date,95088,0,object
region_demand_mw,94867,221,float64
region_demand_forecast_mw,95088,0,float64
num_ba,95088,0,int64
num_rows,95088,0,int64
num_available_ba,95088,0,int64
num_missing_ba,95088,0,int64
year,95088,0,int64
month,95088,0,int64
hour,95088,0,int64
day_of_week,95088,0,int64
is_negative_demand,95088,0,bool
target_region_demand_mw,95088,0,float64
is_target_imputed,95088,0,int64
imputation_method,95088,0,object
temperature_2m,95088,0,float64
relative_humidity_2m,95088,0,int64
wind_speed_10m,95088,0,float64
precipitation,95088,0,float64
region_name,95088,0,object
weather_city,95088,0,object
weather_state,95088,0,object
latitude,95088,0,float64
longitude,95088,0,float64
timestamp_local,95088,0,object
local_date,95088,0,object
local_year,95088,0,int64
local_month,95088,0,int64
local_day,95088,0,int64
local_hour,95088,0,int64
local_day_of_week,95088,0,int64
local_day_name,95088,0,object
is_weekend,95088,0,int64
hour_sin,95088,0,float64
hour_cos,95088,0,float64
day_of_week_sin,95088,0,float64
day_of_week_cos,95088,0,float64
month_sin,95088,0,float64
month_cos,95088,0,float64
season,95088,0,object
day_of_year,95088,0,int64
days_in_year,95088,0,int64
day_of_year_sin,95088,0,float64
day_of_year_cos,95088,0,float64
is_holiday,95088,0,int64
is_day_before_holiday,95088,0,int64
is_day_after_holiday,95088,0,int64
is_holiday_period,95088,0,int64
cooling_degree,95088,0,float64
heating_degree,95088,0,float64
temp_squared,95088,0,float64
lag_1h,95087,1,float64
lag_24h,95064,24,float64
lag_168h,94920,168,float64
rolling_mean_24h,95064,24,float64
rolling_mean_168h,94920,168,float64
rolling_std_24h,95064,24,float64
rolling_std_168h,94920,168,float64
