feature,coefficient,abs_coefficient
rolling_mean_24h,6285.161764558475,6285.161764558475
rolling_std_24h,-5637.899850033091,5637.899850033091
hour_sin,-3173.9678892830107,3173.9678892830107
rolling_std_168h,1165.982180737305,1165.982180737305
heating_degree,1025.8362250533896,1025.8362250533896
cooling_degree,1012.354402395828,1012.354402395828
is_weekend,-684.046501795651,684.046501795651
day_of_week_cos,496.5280549617408,496.5280549617408
rolling_mean_168h,471.27598147779787,471.27598147779787
month_cos,-398.69442113022166,398.69442113022166
lag_1h,359.17908900011827,359.17908900011827
day_of_year_cos,-344.6157048131107,344.6157048131107
wind_speed_10m,-283.08330142089164,283.08330142089164
is_holiday_period,-253.36302747764955,253.36302747764955
lag_24h,230.3581158176845,230.3581158176845
day_of_year_sin,-197.91640291415402,197.91640291415402
is_day_after_holiday,149.4170248224503,149.4170248224503
temp_squared,-142.76863210971,142.76863210971
is_day_before_holiday,92.08288258532987,92.08288258532987
precipitation,60.90243488196175,60.90243488196175
is_holiday,-54.388754222137635,54.388754222137635
relative_humidity_2m,-43.33821601927058,43.33821601927058
lag_168h,40.47630375046132,40.47630375046132
hour_cos,19.584441911641118,19.584441911641118
day_of_week_sin,-4.988771817617515,4.988771817617515
month_sin,0.0,0.0
temperature_2m,0.0,0.0
