epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,49,,3400.168701171875,,,,,
0,,99,,2372.681396484375,,,,,
0,,149,,3617.42724609375,,,,,
0,,199,,2565.192626953125,,,,,
0,,249,,3062.10205078125,,,,,
0,,299,,1652.23046875,,,,,
0,,349,,2214.492431640625,,,,,
0,,399,,3699.53173828125,,,,,
0,,449,,1138.482421875,,,,,
0,,499,,1262.7979736328125,,,,,
0,,549,,1664.8580322265625,,,,,
0,,580,,,950.7196655273438,0.035634979605674744,1203.5621337890625,0.03477167710661888,1203.5621337890625
0,,580,5975.98876953125,,,,,,
,0.03,581,,,,,,,
1,,599,,23180.228515625,,,,,
1,,649,,1826.3870849609375,,,,,
1,,699,,1054.5174560546875,,,,,
1,,749,,1291.6810302734375,,,,,
1,,799,,1070.0343017578125,,,,,
1,,849,,1017.5233154296875,,,,,
1,,899,,941.8447265625,,,,,
1,,949,,1798.615234375,,,,,
1,,999,,1594.4293212890625,,,,,
1,,1049,,1291.7989501953125,,,,,
1,,1099,,1418.531494140625,,,,,
1,,1149,,1690.975341796875,,,,,
1,,1161,,,942.0175170898438,0.03352044150233269,1153.788330078125,0.0317658856511116,1153.788330078125
1,,1161,4912.88232421875,,,,,,
,0.03,1162,,,,,,,
2,,1199,,887.2626953125,,,,,
2,,1249,,1025.9427490234375,,,,,
2,,1299,,1271.4525146484375,,,,,
2,,1349,,1370.5062255859375,,,,,
2,,1399,,933.4088134765625,,,,,
2,,1449,,1063.2080078125,,,,,
2,,1499,,817.4599609375,,,,,
2,,1549,,1148.029052734375,,,,,
2,,1599,,1962.447265625,,,,,
2,,1649,,1056.456787109375,,,,,
2,,1699,,1595.663330078125,,,,,
2,,1742,,,1236.7005615234375,0.043112918734550476,1425.9129638671875,0.04103770852088928,1425.9129638671875
2,,1742,4857.8486328125,,,,,,
,0.03,1743,,,,,,,
3,,1749,,3130.968017578125,,,,,
3,,1799,,923.8486328125,,,,,
3,,1849,,2255.08837890625,,,,,
3,,1899,,1038.1673583984375,,,,,
3,,1949,,804.36376953125,,,,,
3,,1999,,991.9085083007812,,,,,
3,,2049,,965.6634521484375,,,,,
3,,2099,,826.0530395507812,,,,,
3,,2149,,914.8895874023438,,,,,
3,,2199,,786.6458740234375,,,,,
3,,2249,,972.45703125,,,,,
3,,2299,,1042.611572265625,,,,,
3,,2323,,,758.5205688476562,0.03668352589011192,965.8953857421875,0.029175586998462677,965.8953857421875
3,,2323,4846.3896484375,,,,,,
,0.03,2324,,,,,,,
4,,2349,,814.1551513671875,,,,,
4,,2399,,1075.300537109375,,,,,
4,,2449,,2276.500244140625,,,,,
4,,2499,,1065.140380859375,,,,,
4,,2549,,856.1704711914062,,,,,
4,,2599,,952.7365112304688,,,,,
4,,2649,,1349.298095703125,,,,,
4,,2699,,729.9732055664062,,,,,
4,,2749,,1075.51318359375,,,,,
4,,2799,,1839.495849609375,,,,,
4,,2849,,839.6221313476562,,,,,
4,,2899,,1160.812744140625,,,,,
4,,2904,,,648.0220947265625,0.02524941973388195,836.4041137695312,0.02338278852403164,836.4041137695312
4,,2904,4777.68310546875,,,,,,
,0.03,2905,,,,,,,
5,,2949,,1288.982177734375,,,,,
5,,2999,,2013.6158447265625,,,,,
5,,3049,,2625.697021484375,,,,,
5,,3099,,1009.113525390625,,,,,
5,,3149,,854.268798828125,,,,,
5,,3199,,1320.9796142578125,,,,,
5,,3249,,1615.823486328125,,,,,
5,,3299,,1353.7286376953125,,,,,
5,,3349,,1346.817138671875,,,,,
5,,3399,,2019.7513427734375,,,,,
5,,3449,,1601.0628662109375,,,,,
5,,3485,,,969.5567016601562,0.0349968858063221,1183.321533203125,0.03376784920692444,1183.321533203125
5,,3485,4883.42578125,,,,,,
,0.03,3486,,,,,,,
6,,3499,,3916.372314453125,,,,,
6,,3549,,2157.329345703125,,,,,
6,,3599,,3326.870361328125,,,,,
6,,3649,,1226.7498779296875,,,,,
6,,3699,,1859.3310546875,,,,,
6,,3749,,1503.4483642578125,,,,,
6,,3799,,1063.86865234375,,,,,
6,,3849,,881.01953125,,,,,
6,,3899,,1558.919677734375,,,,,
6,,3949,,863.2393188476562,,,,,
6,,3999,,1089.000732421875,,,,,
6,,4049,,906.2056274414062,,,,,
6,,4066,,,585.516357421875,0.021381208673119545,773.6549682617188,0.020206382498145103,773.6549682617188
6,,4066,4847.88232421875,,,,,,
,0.03,4067,,,,,,,
7,,4099,,1433.9451904296875,,,,,
7,,4149,,982.3177490234375,,,,,
7,,4199,,920.1420288085938,,,,,
7,,4249,,1407.8536376953125,,,,,
7,,4299,,2009.110107421875,,,,,
7,,4349,,4702.7158203125,,,,,
7,,4399,,1717.377197265625,,,,,
7,,4449,,932.7920532226562,,,,,
7,,4499,,1180.4168701171875,,,,,
7,,4549,,1423.9007568359375,,,,,
7,,4599,,1436.986083984375,,,,,
7,,4647,,,833.751220703125,0.03434327617287636,1040.27294921875,0.03148283436894417,1040.27294921875
7,,4647,4838.5380859375,,,,,,
,0.03,4648,,,,,,,
8,,4649,,1741.3697509765625,,,,,
8,,4699,,3024.73828125,,,,,
8,,4749,,1236.87109375,,,,,
8,,4799,,1108.257080078125,,,,,
8,,4849,,2377.09130859375,,,,,
8,,4899,,2161.351318359375,,,,,
8,,4949,,732.2744140625,,,,,
8,,4999,,851.5771484375,,,,,
8,,5049,,782.4904174804688,,,,,
8,,5099,,659.0269775390625,,,,,
8,,5149,,937.5545654296875,,,,,
8,,5199,,973.5617065429688,,,,,
8,,5228,,,851.99951171875,0.03339388594031334,1087.665283203125,0.030383598059415817,1087.665283203125
8,,5228,4822.64794921875,,,,,,
,0.03,5229,,,,,,,
9,,5249,,682.5289306640625,,,,,
9,,5299,,863.1433715820312,,,,,
9,,5349,,975.4921875,,,,,
9,,5399,,1718.71142578125,,,,,
9,,5449,,2955.17822265625,,,,,
9,,5499,,1197.7274169921875,,,,,
9,,5549,,1091.0328369140625,,,,,
9,,5599,,2011.6778564453125,,,,,
9,,5649,,782.8662719726562,,,,,
9,,5699,,2700.857666015625,,,,,
9,,5749,,923.7531127929688,,,,,
9,,5799,,1250.3197021484375,,,,,
9,,5809,,,689.547119140625,0.02780805341899395,865.5752563476562,0.02544550970196724,865.5752563476562
9,,5809,4807.484375,,,,,,
,0.03,5810,,,,,,,
10,,5849,,910.822509765625,,,,,
10,,5899,,856.8731689453125,,,,,
10,,5949,,700.140869140625,,,,,
10,,5999,,794.26806640625,,,,,
10,,6049,,695.0562744140625,,,,,
10,,6099,,943.89892578125,,,,,
10,,6149,,1148.3822021484375,,,,,
10,,6199,,2134.0966796875,,,,,
10,,6249,,2357.73388671875,,,,,
10,,6299,,852.3211669921875,,,,,
10,,6349,,1184.0323486328125,,,,,
10,,6390,,,852.7578735351562,0.02948247455060482,1069.0673828125,0.029408060014247894,1069.0673828125
10,,6390,4752.19970703125,,,,,,
,0.015,6391,,,,,,,
11,,6399,,978.3236694335938,,,,,
11,,6449,,4796.97802734375,,,,,
11,,6499,,665.453369140625,,,,,
11,,6549,,1473.2677001953125,,,,,
11,,6599,,1126.114990234375,,,,,
11,,6649,,661.0955810546875,,,,,
11,,6699,,766.8851928710938,,,,,
11,,6749,,906.5625610351562,,,,,
11,,6799,,841.5072021484375,,,,,
11,,6849,,706.3650512695312,,,,,
11,,6899,,2122.256103515625,,,,,
11,,6949,,668.85205078125,,,,,
11,,6971,,,636.5679321289062,0.021843209862709045,829.5817260742188,0.02132982201874256,829.5817260742188
11,,6971,4627.50732421875,,,,,,
