variable,importance,variable_type,normalized_importance
model_target_mw,8959.183,encoder,0.7619000673394005
day_of_week_sin,263.89114,encoder,0.02244163210211644
hour_sin,260.76163,encoder,0.02217549410590058
day_of_year_cos,186.39545,encoder,0.015851301342934075
month_cos,182.64116,encoder,0.015532032031358296
day_of_year_sin,162.85126,encoder,0.013849074097853228
temp_squared,161.96828,encoder,0.013773984347555694
temperature_2m,160.38986,encoder,0.013639753973767044
hour_cos,156.02293,encoder,0.013268384959866172
is_holiday_period,137.2429,encoder,0.011671307838290906
time_idx,130.3534,encoder,0.011085415218203635
is_day_before_holiday,114.3718,encoder,0.009726320842752108
relative_humidity_2m,112.50546,encoder,0.009567604906497123
day_of_week_cos,111.06534,encoder,0.00944513492130554
precipitation,110.34181,encoder,0.009383605367503578
cooling_degree,102.36521,encoder,0.00870526529679121
heating_degree,101.08603,encoder,0.008596482026674943
is_holiday,87.24069,encoder,0.007419057301909994
relative_time_idx,81.92077,encoder,0.006966644378704897
wind_speed_10m,56.198887,encoder,0.004779223453881695
is_weekend,53.256027,encoder,0.004528958997731022
month_sin,48.311752,encoder,0.004108491691504511
is_day_after_holiday,18.635233,encoder,0.001584763457496782
hour_sin,1827.5752,decoder,0.15541927014916318
day_of_year_sin,983.66846,decoder,0.08365239036548042
is_holiday,923.2329,decoder,0.0785128762100741
month_cos,914.21564,decoder,0.07774603609093814
month_sin,863.5885,decoder,0.07344064138933394
temperature_2m,812.11615,decoder,0.06906336856502825
cooling_degree,748.045,decoder,0.06361467674809415
relative_time_idx,694.0322,decoder,0.05902136469624071
is_weekend,439.88623,decoder,0.037408472747645034
precipitation,411.9782,decoder,0.035035139976512676
is_day_before_holiday,408.35178,decoder,0.03472674348609022
hour_cos,375.11853,decoder,0.03190054687985383
is_holiday_period,328.66986,decoder,0.02795049419732413
is_day_after_holiday,322.9517,decoder,0.027464213886631412
heating_degree,282.55853,decoder,0.024029129439705685
time_idx,250.72516,decoder,0.02132197967656721
temp_squared,245.18913,decoder,0.0208511891324597
day_of_week_sin,221.54214,decoder,0.01884021983696484
day_of_year_cos,213.7734,decoder,0.018179556702085202
relative_humidity_2m,186.07309,decoder,0.015823887221792902
day_of_week_cos,161.41765,decoder,0.013727157796146737
wind_speed_10m,144.29051,decoder,0.012270644805867516
encoder_length,9688.131,static,0.8238910906418581
model_target_mw_scale,762.9289,static,0.06488045297065675
Region,660.8126,static,0.056196354055289714
model_target_mw_center,647.1222,static,0.05503210233219546
