epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,49,,5465.83203125,,,,,
0,,99,,3607.905029296875,,,,,
0,,149,,2896.78955078125,,,,,
0,,199,,2280.3330078125,,,,,
0,,249,,2231.923583984375,,,,,
0,,299,,3658.0029296875,,,,,
0,,349,,3721.403076171875,,,,,
0,,399,,1760.0943603515625,,,,,
0,,449,,1293.216064453125,,,,,
0,,499,,1443.3123779296875,,,,,
0,,549,,1232.35009765625,,,,,
0,,580,,,1175.3704833984375,0.049826838076114655,1473.2613525390625,0.04133832827210426,1473.2613525390625
0,,580,6179.9013671875,,,,,,
,0.03,581,,,,,,,
1,,599,,1569.316650390625,,,,,
1,,649,,4097.84716796875,,,,,
1,,699,,1141.3363037109375,,,,,
1,,749,,1414.6480712890625,,,,,
1,,799,,1333.66015625,,,,,
1,,849,,2861.430419921875,,,,,
1,,899,,1366.135498046875,,,,,
1,,949,,3282.41943359375,,,,,
1,,999,,1227.751953125,,,,,
1,,1049,,1877.4068603515625,,,,,
1,,1099,,1220.501708984375,,,,,
1,,1149,,2054.153076171875,,,,,
1,,1161,,,976.9655151367188,0.042470838874578476,1213.4227294921875,0.036060236394405365,1213.4227294921875
1,,1161,5125.82568359375,,,,,,
,0.03,1162,,,,,,,
2,,1199,,1513.139404296875,,,,,
2,,1249,,2657.269287109375,,,,,
2,,1299,,1792.041015625,,,,,
2,,1349,,2048.771484375,,,,,
2,,1399,,1756.8843994140625,,,,,
2,,1449,,1144.4556884765625,,,,,
2,,1499,,1469.7890625,,,,,
2,,1549,,1543.5853271484375,,,,,
2,,1599,,1481.6038818359375,,,,,
2,,1649,,3479.621337890625,,,,,
2,,1699,,1579.74658203125,,,,,
2,,1742,,,822.0439453125,0.046652160584926605,1055.504638671875,0.031425777822732925,1055.504638671875
2,,1742,5076.89794921875,,,,,,
,0.03,1743,,,,,,,
3,,1749,,2045.6326904296875,,,,,
3,,1799,,1170.2293701171875,,,,,
3,,1849,,1156.33935546875,,,,,
3,,1899,,1586.1510009765625,,,,,
3,,1949,,924.3336791992188,,,,,
3,,1999,,1347.3331298828125,,,,,
3,,2049,,1227.4573974609375,,,,,
3,,2099,,1305.255126953125,,,,,
3,,2149,,2510.388427734375,,,,,
3,,2199,,1464.6953125,,,,,
3,,2249,,969.439208984375,,,,,
3,,2299,,1067.0372314453125,,,,,
3,,2323,,,829.2379150390625,0.02799510769546032,1053.7437744140625,0.02771581895649433,1053.7437744140625
3,,2323,4954.41552734375,,,,,,
,0.03,2324,,,,,,,
4,,2349,,1140.7681884765625,,,,,
4,,2399,,1417.4197998046875,,,,,
4,,2449,,792.3896484375,,,,,
4,,2499,,1136.6871337890625,,,,,
4,,2549,,947.0505981445312,,,,,
4,,2599,,841.1753540039062,,,,,
4,,2649,,986.8931274414062,,,,,
4,,2699,,1062.0924072265625,,,,,
4,,2749,,1615.772705078125,,,,,
4,,2799,,1156.592041015625,,,,,
4,,2849,,1533.8074951171875,,,,,
4,,2899,,963.3390502929688,,,,,
4,,2904,,,573.6082763671875,0.020519519224762917,765.7608642578125,0.020133521407842636,765.7608642578125
4,,2904,4854.56103515625,,,,,,
,0.03,2905,,,,,,,
5,,2949,,1035.1102294921875,,,,,
5,,2999,,22964.451171875,,,,,
5,,3049,,1180.730224609375,,,,,
5,,3099,,1472.6419677734375,,,,,
5,,3149,,1994.86181640625,,,,,
5,,3199,,1079.0723876953125,,,,,
5,,3249,,952.095703125,,,,,
5,,3299,,864.2764282226562,,,,,
5,,3349,,1067.039306640625,,,,,
5,,3399,,989.0555419921875,,,,,
5,,3449,,1142.151611328125,,,,,
5,,3485,,,762.3002319335938,0.02761368453502655,952.4743041992188,0.025879254564642906,952.4743041992188
5,,3485,4862.76904296875,,,,,,
,0.03,3486,,,,,,,
6,,3499,,3701.2158203125,,,,,
6,,3549,,1476.4552001953125,,,,,
6,,3599,,1409.1212158203125,,,,,
6,,3649,,1100.851318359375,,,,,
6,,3699,,986.9725341796875,,,,,
6,,3749,,918.1884765625,,,,,
6,,3799,,1466.842529296875,,,,,
6,,3849,,754.7305908203125,,,,,
6,,3899,,685.4661254882812,,,,,
6,,3949,,863.2105102539062,,,,,
6,,3999,,1079.10400390625,,,,,
6,,4049,,877.6531372070312,,,,,
6,,4066,,,708.2704467773438,0.030037416145205498,891.9055786132812,0.02646496519446373,891.9055786132812
6,,4066,4661.75537109375,,,,,,
,0.03,4067,,,,,,,
7,,4099,,1191.2933349609375,,,,,
7,,4149,,1847.9366455078125,,,,,
7,,4199,,990.1163940429688,,,,,
7,,4249,,1060.9775390625,,,,,
7,,4299,,1241.455078125,,,,,
7,,4349,,875.1409912109375,,,,,
7,,4399,,656.9414672851562,,,,,
7,,4449,,1721.316650390625,,,,,
7,,4499,,1194.42333984375,,,,,
7,,4549,,1026.56494140625,,,,,
7,,4599,,937.2478637695312,,,,,
7,,4647,,,1324.675048828125,0.045476410537958145,1543.8724365234375,0.042409732937812805,1543.8724365234375
7,,4647,4757.041015625,,,,,,
,0.03,4648,,,,,,,
8,,4649,,1682.358154296875,,,,,
8,,4699,,913.2833862304688,,,,,
8,,4749,,1696.9791259765625,,,,,
8,,4799,,1261.5902099609375,,,,,
8,,4849,,2148.873779296875,,,,,
8,,4899,,2124.068359375,,,,,
8,,4949,,717.3355102539062,,,,,
8,,4999,,1344.3660888671875,,,,,
8,,5049,,291031.375,,,,,
8,,5099,,846.329833984375,,,,,
8,,5149,,4189.56982421875,,,,,
8,,5199,,834.980712890625,,,,,
8,,5228,,,1409.351806640625,0.05381462723016739,1613.0369873046875,0.04963700845837593,1613.0369873046875
8,,5228,4777.33447265625,,,,,,
,0.015,5229,,,,,,,
9,,5249,,1019.5146484375,,,,,
9,,5299,,2333.065673828125,,,,,
9,,5349,,660.3400268554688,,,,,
9,,5399,,797.3482055664062,,,,,
9,,5449,,661.7913818359375,,,,,
9,,5499,,1907.6258544921875,,,,,
9,,5549,,684.1720581054688,,,,,
9,,5599,,864.820556640625,,,,,
9,,5649,,936.7320556640625,,,,,
9,,5699,,777.218994140625,,,,,
9,,5749,,163176.6875,,,,,
9,,5799,,842.9468383789062,,,,,
9,,5809,,,1326.114501953125,0.04672824963927269,1498.3538818359375,0.04767389968037605,1498.3538818359375
9,,5809,4596.74072265625,,,,,,
