feature,importance
day_of_year_cos,0.10420656
precipitation,0.095670305
rolling_mean_24h,0.09388561
heating_degree,0.073167525
day_of_week_sin,0.06362883
month_cos,0.060438324
lag_1h,0.057562184
relative_humidity_2m,0.0535889
wind_speed_10m,0.052269835
lag_24h,0.045430895
day_of_year_sin,0.044679035
temperature_2m,0.039705064
hour_sin,0.034696233
rolling_mean_168h,0.031023989
lag_168h,0.03084831
hour_cos,0.026623936
rolling_std_24h,0.02334213
cooling_degree,0.02226762
rolling_std_168h,0.022164961
day_of_week_cos,0.008750243
month_sin,0.007837232
is_weekend,0.0077085937
is_day_before_holiday,0.00050369353
is_holiday,0.0
is_day_after_holiday,0.0
is_holiday_period,0.0
temp_squared,0.0
